type,latitude,longitude
charging_station,55.792424,37.775120
charging_station,55.789824,37.787927
charging_station,55.796149,37.782700
charging_station,55.799215,37.774698
charging_station,55.799366,37.793502
charging_station,55.793903,37.799936
charging_station,55.799609,37.805575
charging_station,55.796675,37.812625
charging_station,55.791165,37.815025
charging_station,55.800440,37.819094
parking_spot,55.790713,37.769883
parking_spot,55.793551,37.775943
parking_spot,55.789836,37.777517
parking_spot,55.788177,37.783031
parking_spot,55.794458,37.787686
parking_spot,55.788712,37.791086
parking_spot,55.792550,37.793834
parking_spot,55.789668,37.798769
parking_spot,55.793692,37.799867
parking_spot,55.795020,37.805130
parking_spot,55.791091,37.805368
parking_spot,55.789193,37.810233
parking_spot,55.796535,37.811561
parking_spot,55.795043,37.816028
parking_spot,55.791256,37.818964
parking_spot,55.794126,37.821829
parking_spot,55.801978,37.825462
parking_spot,55.797643,37.819259
parking_spot,55.801677,37.816160
parking_spot,55.801576,37.809185
parking_spot,55.797675,37.802444
parking_spot,55.802364,37.799362
parking_spot,55.797131,37.793277
parking_spot,55.801294,37.791179
parking_spot,55.799066,37.788136
parking_spot,55.801078,37.781593
parking_spot,55.797277,37.782638
parking_spot,55.797368,37.776906
parking_spot,55.797065,37.772071
parking_spot,55.800641,37.769183
